location_id,business_date,orders,gross_cents,refund_cents,labor_minutes,completed_jobs,on_time_jobs
L0001,2025-05-08,169,602992,23062,676,146,135
L0001,2025-05-09,172,558656,26453,1032,168,163
L0001,2025-05-10,229,954243,11415,1374,212,187
L0001,2025-05-11,269,1116619,27145,1883,237,234
L0001,2025-05-12,165,741510,12632,660,160,142
L0001,2025-05-13,177,422322,9728,708,165,157
L0001,2025-05-14,193,705994,15286,965,173,166
L0001,2025-05-15,175,757750,6571,1050,150,141
L0001,2025-05-16,224,507584,5071,1568,201,185
L0001,2025-05-17,253,463243,22022,1012,222,212
L0001,2025-05-18,237,551973,20238,1659,214,199
L0001,2025-05-19,223,799678,37147,1115,190,177
L0001,2025-05-20,172,324220,4129,1204,171,156
L0001,2025-05-21,171,612864,17515,1026,160,155
L0001,2025-05-22,169,742417,20749,845,146,131
L0001,2025-05-23,171,487008,15637,513,150,131
L0001,2025-05-24,269,978622,43737,1883,256,229
L0001,2025-05-25,241,1057026,18350,723,215,193
L0001,2025-05-26,192,571200,25071,576,165,154
L0001,2025-05-27,227,446736,18514,908,208,186
L0001,2025-05-28,171,548226,4822,684,170,145
L0001,2025-05-29,212,697480,12366,1272,192,184
L0001,2025-05-30,190,598500,21263,950,164,145
L0001,2025-05-31,210,447930,5090,1050,196,175
L0001,2025-06-01,264,566808,12442,1320,236,227
L0001,2025-06-02,218,862408,30331,1526,188,169
L0001,2025-06-03,239,906049,45301,956,210,181
L0001,2025-06-04,230,909880,18338,1610,196,170
L0001,2025-06-05,225,557550,3884,1125,215,203
L0001,2025-06-06,223,811274,12788,1338,197,192
L0001,2025-06-07,238,703052,19426,1428,230,227
L0001,2025-06-08,219,969294,21038,657,201,191
L0001,2025-06-09,175,637000,7409,1050,172,148
L0001,2025-06-10,238,832762,22976,952,204,184
L0001,2025-06-11,170,758540,8778,510,153,136
L0001,2025-06-12,220,800140,36617,660,207,183
L0001,2025-06-13,205,462275,7255,615,198,170
L0001,2025-06-14,206,792482,4549,1442,193,180
L0001,2025-06-16,209,536503,4749,1045,198,170
L0001,2025-06-17,207,703593,4896,1242,203,200
L0001,2025-06-18,190,853290,33891,950,179,155
L0001,2025-06-19,230,851690,22599,920,229,221
L0001,2025-06-20,186,368094,16513,930,180,177
L0001,2025-06-21,220,978780,20617,660,193,187
L0001,2025-06-22,282,1015482,22746,1128,277,255
L0001,2025-06-23,227,803126,25789,908,195,181
L0001,2025-06-24,187,798116,9976,1122,179,161
L0001,2025-06-25,243,710532,28859,729,229,197
L0001,2025-06-26,218,420086,13586,1308,189,162
L0001,2025-06-27,193,795739,9473,1158,164,161
L0001,2025-06-28,246,843780,14801,738,220,188
L0001,2025-06-29,206,590396,8653,1442,196,174
L0002,2025-01-01,59,147913,3702,177,58,56
L0002,2025-01-02,77,312004,14074,308,71,67
L0002,2025-01-03,71,163087,6628,284,70,67
L0002,2025-01-04,96,389664,17453,288,83,74
L0002,2025-01-05,94,390476,19038,282,80,73
L0002,2025-01-06,79,349180,13810,316,74,67
L0002,2025-01-07,61,150914,7102,244,53,48
L0002,2025-01-08,64,281664,4887,320,63,59
L0002,2025-01-09,73,182573,6833,511,69,62
L0002,2025-01-10,59,261193,4417,236,56,54
L0002,2025-01-11,90,268740,4997,360,85,82
L0002,2025-01-12,70,252000,6527,350,63,59
L0002,2025-01-13,81,278073,6027,567,70,61
L0002,2025-01-14,61,122427,2728,427,54,49
L0002,2025-01-15,83,255640,3111,581,72,66
L0002,2025-01-16,68,249696,3666,340,67,57
L0002,2025-01-17,76,225720,9734,456,70,61
L0002,2025-01-18,70,140630,1935,490,65,58
L0002,2025-01-19,96,417792,4323,288,91,82
L0002,2025-01-20,78,203970,4704,234,73,63
L0002,2025-01-21,70,299810,3385,490,68,61
L0002,2025-01-22,74,286898,8307,518,72,64
L0002,2025-01-23,85,356150,16185,255,76,71
L0002,2025-01-24,73,199436,6234,292,69,64
L0002,2025-01-25,96,268032,12777,288,82,72
L0002,2025-01-26,75,289125,13422,225,72,68
L0002,2025-01-27,70,234010,2994,490,62,56
L0002,2025-01-28,75,216150,2951,300,70,62
L0002,2025-01-29,79,209271,5651,474,75,67
L0002,2025-01-30,60,241440,11856,300,54,53
L0002,2025-01-31,77,247786,8553,462,76,67
L0002,2025-02-01,77,173019,5434,308,72,62
L0002,2025-02-02,72,226944,2162,288,68,58
L0002,2025-02-03,83,311084,4348,415,76,68
L0002,2025-02-04,73,291343,12605,219,70,68
L0002,2025-02-05,83,284358,3806,,80,78
L0002,2025-02-06,85,252025,8533,595,78,72
UNKNOWN,2025-02-07,62,140182,5313,310,55,52
L0002,2025-02-08,91,235781,10263,546,79,76
L0002,2025-02-09,74,175750,8280,222,68,60
L0002,2025-02-10,65,269490,9275,260,55,47
L0002,2025-02-11,71,218183,7362,355,67,60
L0002,2025-02-12,70,299670,10964,420,63,60
L0002,2025-02-13,76,322240,2798,456,74,68
L0002,2025-02-14,80,309600,9025,320,70,63
L0002,2025-02-15,88,191136,4787,264,86,79
L0002,2025-02-16,84,257208,5869,252,80,76
L0002,2025-02-17,59,120714,978,354,58,50
L0002,2025-02-18,85,377825,8256,510,84,77
L0002,2025-02-19,84,336672,14717,252,73,64
L0002,2025-02-20,63,114282,5603,378,60,57
L0002,2025-02-21,64,205888,2776,192,55,47
L0002,2025-02-22,98,272930,2604,294,86,78
L0002,2025-02-23,70,251790,3721,210,61,53
L0002,2025-02-24,73,304045,10722,365,68,60
L0002,2025-02-25,69,201963,9630,276,59,55
L0002,2025-02-26,84,282324,5461,504,81,73
L0002,2025-02-27,64,174272,6420,384,57,56
L0002,2025-02-28,61,170434,3385,183,54,53
L0002,2025-03-01,75,217425,7006,225,67,65
L0002,2025-03-02,87,327381,14999,435,76,75
L0002,2025-03-03,60,225660,8192,240,59,53
L0002,2025-03-04,70,311990,5232,490,63,61
L0002,2025-03-05,78,242658,5261,468,76,65
L0002,2025-03-06,73,306016,7280,292,68,60
L0002,2025-03-07,72,229104,9616,432,63,58
L0002,2025-03-08,87,222111,6529,261,85,78
L0002,2025-03-09,70,127820,5485,280,63,54
L0002,2025-03-10,59,260308,8523,354,56,53
L0002,2025-03-11,57,166725,2985,399,53,51
L0002,2025-03-12,60,131640,2086,420,55,51
L0002,2025-03-13,67,232021,3699,268,61,54
L0002,2025-03-14,75,144675,3193,525,64,59
L0002,2025-03-15,97,430777,13123,291,93,91
L0002,2025-03-16,92,379132,2690,276,84,79
L0002,2025-03-17,62,191456,2742,248,52,50
L0002,2025-03-18,61,169824,7341,427,57,51
L0002,2025-03-19,77,296527,6098,231,74,67
L0002,2025-03-20,84,287616,5662,420,83,80
L0002,2025-03-21,67,171520,5957,201,63,60
L0002,2025-03-22,77,258412,8663,462,73,65
L0002,2025-03-22,77,258412,8663,462,73,65
L0002,2025-03-23,80,232320,2074,480,69,63
L0002,2025-03-24,67,146127,5889,402,62,53
L0002,2025-03-25,73,203962,2576,438,68,59
L0002,2025-03-26,62,181660,4867,186,56,50
L0002,2025-03-27,74,271950,5088,444,64,57
L0002,2025-03-28,66,294756,3279,330,65,61
L0002,2025-03-29,82,254774,9241,492,73,72
L0002,2025-03-30,95,313025,9508,665,82,81
L0002,2025-03-31,77,204666,3706,231,70,68
L0002,2025-04-01,75,209325,2499,450,66,63
L0002,2025-04-02,68,263500,11629,408,67,62
L0002,2025-04-03,72,317736,3152,288,71,67
L0002,2025-04-04,85,378165,14700,510,77,67
L0002,2025-04-05,87,361572,7895,522,76,73
L0002,2025-04-06,69,153732,7137,207,61,53
L0002,2025-04-07,70,185290,3831,210,64,58
L0002,2025-04-08,80,181680,3713,240,68,64
L0002,2025-04-09,62,152210,3681,372,55,49
L0002,2025-04-10,69,132411,5924,414,66,62
L0002,2025-04-11,78,160368,6571,546,73,64
L0002,2025-04-12,98,388178,7415,588,97,91
L0002,2025-04-13,89,268602,8476,356,87,78
L0002,2025-04-14,61,206851,2318,366,55,50
L0002,2025-04-15,83,208247,5630,332,77,67
L0002,2025-04-16,84,317856,13250,588,73,67
L0002,2025-04-17,81,307881,9373,324,70,62
L0002,2025-04-18,70,267960,2705,210,65,58
L0002,2025-04-19,94,339058,16797,282,87,83
L0002,2025-04-20,69,198444,8286,414,62,60
L0002,2025-04-21,78,252408,8194,468,76,66
L0002,2025-04-22,58,187688,5979,232,53,47
L0002,2025-04-23,81,177390,6875,486,70,69
L0002,2025-04-24,81,228582,4456,324,70,67
L0002,2025-04-25,64,223744,1879,192,58,53
L0002,2025-04-26,84,319116,1631,252,75,71
L0002,2025-04-27,70,279230,13561,280,63,58
L0002,2025-04-28,61,231007,10450,183,59,51
L0002,2025-04-29,83,203101,1022,498,76,67
L0002,2025-04-30,61,178242,3782,183,52,47
L0002,2025-05-01,65,179335,1633,195,59,50
L0002,2025-05-02,76,139688,2858,228,64,63
L0002,2025-05-03,81,179739,3872,405,70,61
L0002,2025-05-04,102,243270,7383,714,87,82
L0002,2025-05-05,61,212646,5296,244,57,49
L0002,2025-05-06,68,241944,2732,340,61,57
L0002,2025-05-07,65,124085,4297,325,63,55
L0002,2025-05-08,75,208500,2100,450,69,65
L0002,2025-05-09,67,207432,9072,469,58,53
L0002,2025-05-10,102,213996,1720,510,86,76
L0002,2025-05-11,78,300456,7229,468,75,65
L0002,2025-05-12,66,257004,12553,264,65,60
L0002,2025-05-13,76,157320,3884,304,68,58
L0002,2025-05-14,74,226884,7853,296,70,61
L0002,2025-05-15,84,331128,13912,420,77,67
L0002,2025-05-16,82,157440,3829,574,73,63
L0002,2025-05-17,84,275100,12014,336,72,65
L0002,2025-05-18,93,254355,1301,279,89,79
L0002,2025-05-19,83,161352,7443,498,77,68
L0002,2025-05-20,80,331280,9141,240,72,63
L0002,2025-05-21,59,218595,8702,295,57,51
L0002,2025-05-22,73,222212,3537,365,70,65
L0002,2025-05-23,82,229928,10797,246,71,63
L0002,2025-05-24,101,182305,3998,505,97,84
L0002,2025-05-25,70,166810,1532,280,66,64
L0002,2025-05-26,84,180348,5004,504,78,67
L0002,2025-05-27,64,183616,8570,384,62,59
L0002,2025-05-28,59,155170,6154,177,51,44
L0002,2025-05-29,72,190800,4932,216,66,57
L0002,2025-05-30,74,198320,3917,222,72,68
L0002,2025-05-31,78,195936,4545,468,66,61
L0002,2025-06-01,95,218215,9245,380,80,69
L0002,2025-06-02,75,313875,14527,225,70,60
L0002,2025-06-03,60,189480,8982,180,52,45
L0002,2025-06-04,58,205726,3016,232,50,44
L0002,2025-06-05,74,329374,7753,518,66,61
L0002,2025-06-06,75,296475,14745,525,66,63
L0002,2025-06-07,87,329295,10028,435,78,71
L0002,2025-06-08,99,292050,14491,693,85,77
L0002,2025-06-09,64,178368,7444,192,56,54
L0002,2025-06-10,68,170748,5406,340,59,58
L0002,2025-06-11,73,299738,12784,438,72,67
L0002,2025-06-12,74,139194,700,518,68,60
L0002,2025-06-13,81,253125,2948,324,69,66
L0002,2025-06-14,81,277020,5581,405,75,65
L0002,2025-06-15,101,450359,16584,707,90,85
L0002,2025-06-16,74,186332,7086,370,67,58
L0002,2025-06-17,68,280432,9004,476,58,51
L0002,2025-06-18,78,216372,4193,234,70,68
L0002,2025-06-19,57,151506,1220,285,50,48
L0002,2025-06-20,69,171189,4654,414,67,60
L0002,2025-06-21,88,239624,1993,264,76,68
L0002,2025-06-22,74,246938,2068,222,64,57
L0002,2025-06-23,69,308913,13913,276,60,51
L0002,2025-06-24,73,292876,5175,292,64,55
L0002,2025-06-25,58,105270,1922,406,53,49
L0002,2025-06-26,85,317815,5999,510,83,76
L0002,2025-06-27,68,225692,4880,408,66,57
L0002,2025-06-28,87,210453,7373,261,83,78
L0002,2025-06-29,76,155724,6514,456,74,73
L0003,2025-01-01,184,390632,16964,552,167,154
L0003,2025-01-02,195,446940,11266,780,193,190
L0003,2025-01-03,222,795426,33420,888,195,189
L0003,2025-01-04,185,626965,18710,925,172,159
L0003,2025-01-05,231,812658,9536,1617,200,186
L0003,2025-01-06,191,422683,18613,955,184,179
L0003,2025-01-07,184,460920,5288,1288,164,155
L0003,2025-01-08,200,400200,18584,1000,192,164
L0003,2025-01-09,185,407370,6216,925,184,181
L0003,2025-01-10,180,799920,19900,1080,155,148
L0003,2025-01-11,225,551475,20366,1350,193,168
L0003,2025-01-12,196,513912,8339,1176,191,164
L0003,2025-01-13,183,626775,6628,549,172,152
L0003,2025-01-14,184,746672,9227,920,166,159
L0003,2025-01-15,161,667023,9768,644,155,146
L0003,2025-01-16,150,275400,3017,600,138,139
L0003,2025-01-17,172,762304,34530,860,153,140
L0003,2025-01-18,234,981396,27497,1170,202,188
L0003,2025-01-19,222,705294,23858,1110,221,196
L0003,2025-01-20,160,445440,18372,1120,157,142
L0003,2025-01-21,186,559860,13345,1116,165,157
L0003,2025-01-22,174,471540,15902,1044,165,161
L0003,2025-01-23,211,862146,8097,844,185,176
L0003,2025-01-24,219,695106,10428,876,207,198
L0003,2025-01-25,202,606808,6250,606,185,180
L0003,2025-01-26,258,993042,35383,1806,223,199
L0003,2025-01-27,164,570064,25754,984,163,142
L0003,2025-01-28,174,439176,3342,1044,156,139
L0003,2025-01-29,185,399600,9797,1110,160,145
L0003,2025-01-30,164,545792,24637,1148,162,142
L0003,2025-01-31,200,642000,6177,1400,179,167
L0003,2025-02-01,205,805855,16280,820,192,172
L0003,2025-02-02,263,907876,13704,1052,224,197
L0003,2025-02-03,202,394506,13340,1414,183,172
L0003,2025-02-04,211,421367,10010,1266,201,174
L0003,2025-02-05,200,367600,12783,1400,179,159
L0003,2025-02-06,157,679810,6887,471,136,125
L0003,2025-02-07,221,721786,13202,663,211,196
L0003,2025-02-08,199,368548,16883,1393,189,178
L0003,2025-02-09,243,538002,18289,1458,239,236
L0003,2025-02-10,162,317682,6738,810,158,144
L0003,2025-02-11,150,354900,4498,750,142,138
L0003,2025-02-12,177,566931,13059,1062,155,138
L0003,2025-02-13,197,489151,17770,591,170,168
L0003,2025-02-14,185,764050,10052,1110,176,169
L0003,2025-02-15,243,567405,15300,1458,224,204
L0003,2025-02-16,256,1010944,31288,1792,247,218
L0003,2025-02-17,200,866400,30131,800,172,158
L0003,2025-02-18,210,905100,30731,840,180,166
L0003,2025-02-19,205,638165,31051,615,181,167
L0003,2025-02-20,155,560945,14116,930,150,137
L0003,2025-02-21,156,544128,16166,468,133,128
L0003,2025-02-22,229,1026149,49015,1145,217,210
L0003,2025-02-23,247,1051479,36352,1482,227,197
L0003,2025-02-24,211,631945,13792,633,196,168
L0003,2025-02-25,202,452076,6246,606,179,175
L0003,2025-02-26,202,452682,3211,1414,194,168
L0003,2025-02-27,186,714798,27255,1302,158,155
L0003,2025-02-28,217,547925,7021,868,206,178
L0003,2025-03-01,257,903098,41738,1028,256,227
L0003,2025-03-02,190,663100,29766,1330,178,159
L0003,2025-03-03,218,957238,13820,1090,192,182
L0003,2025-03-04,221,558688,20249,1105,204,194
L0003,2025-03-05,219,768471,34753,1533,208,185
L0003,2025-03-06,151,361645,2729,755,129,123
L0003,2025-03-07,211,634688,18630,1055,185,178
L0003,2025-03-08,256,1139200,17876,1280,239,226
L0003,2025-03-09,249,766920,5691,1245,247,217
L0003,2025-03-10,166,729570,24910,1162,158,146
L0003,2025-03-11,171,431946,3607,684,170,162
L0003,2025-03-12,168,413112,6806,840,157,144
L0003,2025-03-13,193,841673,29278,1158,181,174
L0003,2025-03-14,188,479964,19382,752,174,158
L0003,2025-03-15,198,625482,11391,1386,178,165
L0003,2025-03-16,179,575843,26317,1253,164,160
L0003,2025-03-17,177,400728,11746,885,160,137
L0003,2025-03-18,187,709291,32218,748,160,143
L0003,2025-03-19,206,820704,6522,824,175,170
L0003,2025-03-20,201,719982,34047,804,190,162
L0003,2025-03-21,162,458622,14159,648,151,148
L0003,2025-03-22,207,702765,20428,1449,196,168
L0003,2025-03-23,210,810390,32748,1050,181,169
L0003,2025-03-24,210,404460,11732,840,193,184
L0003,2025-03-25,196,591920,27310,,186,183
L0003,2025-03-26,152,630040,18379,456,142,127
L0003,2025-03-27,180,800100,9130,720,175,154
L0003,2025-03-28,208,420576,19749,1456,203,186
L0003,2025-03-29,187,781286,15538,748,172,162
L0003,2025-03-30,196,742840,24317,980,179,170
L0003,2025-03-31,220,547800,8807,880,187,178
L0003,2025-04-01,199,628442,16232,995,195,187
L0003,2025-04-02,155,457095,5165,1085,151,133
L0003,2025-04-03,215,833555,34650,1505,203,184
L0003,2025-04-04,189,757890,30228,945,174,157
L0003,2025-04-05,191,735732,16815,1337,176,150
L0003,2025-04-06,240,937200,11401,1680,209,205
L0003,2025-04-07,185,604765,23747,740,158,136
L0003,2025-04-08,216,708264,32797,648,196,168
L0003,2025-04-09,196,572320,9643,1372,191,178
L0003,2025-04-10,216,457488,10035,864,200,184
L0003,2025-04-11,185,790690,35337,1110,157,137
L0003,2025-04-12,195,640185,26736,780,183,166
L0003,2025-04-13,221,932399,39628,663,193,171
L0003,2025-04-14,187,774928,9675,748,163,150
L0003,2025-04-15,214,633654,9344,1498,212,210
L0003,2025-04-16,194,812084,10707,1358,188,167
L0003,2025-04-17,193,529013,5792,579,174,153
L0003,2025-04-18,160,351040,15998,1120,140,120
L0003,2025-04-19,222,517926,15159,666,218,213
L0003,2025-04-20,212,419124,10186,1272,202,194
L0003,2025-04-21,205,852595,9400,1230,177,169
L0003,2025-04-22,189,539595,19917,567,166,155
L0003,2025-04-23,200,618600,6060,1200,182,171
L0003,2025-04-24,176,515328,11794,704,175,159
L0003,2025-04-25,190,539410,16719,1140,189,180
L0003,2025-04-26,218,536716,14961,1090,188,181
L0003,2025-04-27,213,938052,8535,852,181,166
L0003,2025-04-28,176,755744,16849,1056,150,140
L0003,2025-04-29,219,551223,13645,876,207,201
L0003,2025-04-30,207,805437,12424,828,191,180
L0003,2025-05-01,155,454150,9488,930,149,135
L0003,2025-05-02,217,879067,37219,1519,193,173
L0003,2025-05-03,196,676984,11339,1176,183,169
L0003,2025-05-04,189,737478,32763,1323,187,165
L0003,2025-05-05,167,532897,13668,1002,166,162
L0003,2025-05-06,177,478254,7340,885,168,153
L0003,2025-05-07,168,499968,17657,840,145,125
L0003,2025-05-08,215,623930,24069,860,188,173
L0003,2025-05-09,164,431320,18389,820,159,139
L0003,2025-05-10,238,1026732,44734,714,202,196
L0003,2025-05-11,257,1067321,28910,1799,251,223
L0003,2025-05-12,208,781872,5055,1040,206,186
L0003,2025-05-13,201,740484,3983,804,180,163
L0003,2025-05-14,163,468788,12287,1141,144,129
L0003,2025-05-15,205,675475,11877,820,200,186
L0003,2025-05-16,202,558530,24315,808,188,164
L0003,2025-05-17,194,746124,33723,1358,168,155
L0003,2025-05-18,255,508725,18352,765,231,203
L0003,2025-05-19,204,584256,17654,1020,184,165
L0003,2025-05-20,194,807428,27623,776,181,179
L0003,2025-05-21,206,747780,16562,1030,202,185
L0003,2025-05-22,218,768886,23623,654,205,177
L0003,2025-05-23,202,864358,14872,1212,191,183
L0003,2025-05-24,219,544215,3287,876,192,181
L0003,2025-05-25,193,428653,20213,1158,166,154
L0003,2025-05-26,155,445625,3919,930,146,130
L0003,2025-05-27,159,397182,13846,795,135,131
L0003,2025-05-28,190,447070,16270,760,189,176
L0003,2025-05-29,181,800020,15148,905,171,157
L0003,2025-05-30,179,436223,2183,716,160,144
L0003,2025-05-31,263,987302,38963,1315,235,219
L0003,2025-06-01,257,922630,11392,1542,233,225
L0003,2025-06-02,187,806157,28868,935,181,170
L0003,2025-06-03,154,363286,12228,1078,137,125
L0003,2025-06-04,160,638560,31133,800,136,121
L0003,2025-06-05,160,611360,14618,960,141,140
L0003,2025-06-06,212,508376,20286,636,181,168
L0003,2025-06-07,213,394263,15600,852,184,166
L0003,2025-06-08,196,428064,21059,1176,181,164
L0003,2025-06-09,203,822353,13486,1015,188,165
L0003,2025-06-10,157,689544,3915,785,143,133
L0003,2025-06-11,192,719232,8613,576,183,162
L0003,2025-06-12,221,963560,20233,884,189,179
L0003,2025-06-13,222,985680,40658,1332,213,203
L0003,2025-06-14,201,394161,9731,1005,185,171
L0003,2025-06-15,207,769626,32640,1449,184,161
L0003,2025-06-16,189,691551,23313,1134,160,152
L0003,2025-06-17,195,607035,21017,1365,186,179
L0003,2025-06-18,160,473440,16022,480,143,123
L0003,2025-06-19,162,312336,8384,486,142,121
UNKNOWN,2025-06-20,195,822315,17668,1365,173,164
L0003,2025-06-21,261,555147,18737,1305,240,223
L0003,2025-06-22,242,1046892,7150,726,215,208
L0003,2025-06-23,156,428376,5794,1092,145,137
L0003,2025-06-24,190,424080,13123,1140,183,174
L0003,2025-06-25,190,734730,8903,1330,171,156
L0003,2025-06-26,173,574706,19250,865,157,147
L0003,2025-06-27,218,619120,15700,1308,197,167
L0003,2025-06-28,191,579876,28587,764,162,157
L0003,2025-06-29,203,825601,25329,1421,188,164
L0004,2025-01-01,87,245601,10192,261,76,71
L0004,2025-01-02,70,264320,11143,490,61,59
L0004,2025-01-03,84,282408,2123,420,72,65
L0004,2025-01-04,103,280984,12146,309,99,93
L0004,2025-01-05,83,341379,9425,332,72,63
L0004,2025-01-06,83,344948,5172,415,76,73
